,slug,description
0,qrazy-train,"The team at Dynasty Genetics created Salmon River OG by combining a Pre-98 Bubba Kush mother with pollen from a Blue Heron father itself descended from Blue Magoo. The top reported aromas of the Salmon River OG strain are berries, chocolate coffee, and lemon. And it is said to taste like petrol, berries, and chocolate. Salmon River OG is an indica-leaning hybrid, with medium-height plants and lateral branching. It has a few different phenotype expressions, each of which produces different shaped buds and slightly different flowering times between six to eight weeks when grown indoors. Salmon River OG thrives in both indoor and outdoor gardens and produces its signature purple coloring when exposed to cold temperatures two weeks before harvest. Salmon River OG is available as clones only."
1,salmon-river-og,"Rainbow Jones is a combination of Casey Jones with Grand Daddy Purple created by breeders Connoisseur Genetics. The top reported aromas of the Rainbow Jones strain are sugar, diesel, and skunk. It is said to taste like herbs, spices, and sour grapes. Rainbow Jones has little growing information available to would-be cultivators. The strain is likely a balanced hybrid and produces fluffy, long buds of purple, green, and orange coloring. Growers can likely boost Rainbow Jones' purple coloring by exposing the plant to cold temperatures right before harvest. Rainbow Seeds is unavailable as seeds or clones."
2,rainbow-jones,"Durban Poison has deep roots in the Sativa landrace gene pool. The strain’s historic phenotypes were first noticed in the late 1970s by one of America’s first International strain hunters, Ed Rosenthal. According to cultivation legend, Rosenthal was in South Africa in search of new genetics and ran across a fast flowering strain in the port city of Durban. After arriving home in the U.S., Rosenthal conducted his own selective breeding process on his recently imported seeds, then begin sharing. Rosenthal gave Mel Frank some of his new South African seeds, and the rest was cannabis history. Frank, who wrote the “Marijuana Grower’s Guide Deluxe"" in 1978, modified the gene pool to increase resin content and decrease the flowering time. In search of a short-season varietal that could hit full maturation on the U.S. East Coast, Frank’s crossbreeding efforts resulted in two distinct phenotypes, the “A” line and “B” line. The plant from Frank’s “A” line became today’s Durban Poison, while the “B” line was handed off to Amsterdam breeder David Watson, also known as “Sam the Skunkman.” Durban Poison has a dense, compact bud structure that’s typical of landrace Indica varieties, but the flowers’ elongated and conical shape is more characteristic of a Sativa. When cultivated indoors or in a greenhouse, Durban Poison needs ample room for the production of side branches. Cultivating Durban Poison outside provides an opportunity for this plant to reach its greatest potential. Regardless of whether cultivated indoors or outdoors, Durban Poison requires thorough trellising to support its ample flower production. Regular and feminized Durban Poison seeds are available through the Dutch Passion Seed Company. Durban Poison won 2nd place in 2013 and 2014 at the Denver High Times Cannabis Cup in the Medical Sativa category."
3,durban-poison,"Created by Dr. Krippling, Incredible Bulk is derived from a threeway cross of Big Bud, Super Skunk, and Green Spirit. Like its parent Big Bud, Incredible Bulk’s flowers stand out in a crowd due to their notable size and shape. Dr. Krippling added Super Skunk into for its ability to produce high turnouts at harvest. Incredible Bulk is an Indica-dominant hybrid with a woodsy musky scent. When smoked, it produces a sour piney flavor and an extremely pungent smell. Just like the Marvel superhero, smoking this strain in public might draw unwanted attention. This strain is incredibly resistant to mold, pests, and various temperatures and can be grown indoors or outdoors. Newbie growers can easily tease out good yields of hefty buds in approximately eight weeks. Some home growers have reported producing anywhere from two-to-three ounces of flower per square foot of Incredible Bulk, which may explain the strain's name."
4,incredible-bulk,"Sweet Black Angel is the creation of breeders at Spain’s Samsara Seeds who wanted to create a fast-growing plant. It’s a combo of two legendary strains — Black Domina and Super Silver Haze — and named after a Rolling Stones song that honors civil rights activist Angela Davis. The top reported aromas of Sweet Black Angel are sweet and sour blackberries, pine, and earth. And it is said to taste very similar. Sweet Black Angel is an indica-dominant cross between Black Domina and Super Silver Haze. It produces short, sturdy plants thanks to its indica heritage. Sweet Black Angel has an average flowering time between 55 and 65 days and is known to produce high yields of small, tight buds in ideal conditions. It grows well indoors and out, according to the breeder. Sweet Black Angel is available as seeds."
5,sweet-black-angel,"American Dream is the creation, oddly enough, of Spanish super-breeder Sensi Seeds, which named it for the dream of each generation (people or plants) reaching greater heights than the last. It’s a cross of an Afghan Skunk with sativas from Jamaica and Hawaii. Given its genetics, it’s no surprise that American Dream smells and tastes like skunk, earth, and hints of tropical fruit. American Dream is an indica-dominant cross between an Afghan Skunk and sativas from Jamaica and Hawaii. It produces short, sturdy plants that do well with Sea of Green or Screen of Green thanks to its indica heritage. American Dream has an average flowering time between 49 and 56 days and is known to produce huge yields in ideal conditions. It grows well indoors or outside in a warm, Mediterranean-like climate. But the Skunk in its heritage gives this strain a powerful odor so containment measures may be necessary for some growers. American Dream is available as seeds."
6,american-dream,Orange Sunset by Wonderbrett is an indica-dominant hybrid of Orange Banana and OZ Kush. The top reported aromas of the Orange Sunset strain are orange and tangerine with hints of gas and pine. And it is said to taste similar with notes of citrus candy and pine.
7,orange-sunset,"Liberty Haze was created by Barney’s Farm, which crossed Chemdawg 91 with G13 to conjure up this lime-flavored hybrid. The breeder claims that Liberty Haze grows medium in height but with massive girth, producing long, dense colas with lush red and purple calyxes in a 60-to-65-day flowering cycle. Liberty Haze does well indoors or out, yielding up to 600 grams per square meter when grown indoors and, when cultivated outside in the Northern Hemisphere, even larger amounts when harvested in early October. If grown outside in the Southern Hemisphere, growers should expect to harvest their plants in April. Liberty Haze won first place in Best Cannabis at the 2011 High Times Cannabis Cup in Amsterdam and first place for Sativa at the 2012 IC 420 Growers Cup in Amsterdam."
8,liberty-haze,"Candy Cane is a hybrid strain created by Crop King Seeds in Spain. It’s a three-way cross of AK-47, Mango, and White Widow. The top reported aromas of Candy Cane are sweet fruit, earth, and mint. And it is said to taste like sweet citrus, berries, and mint. Candy Cane is an indica-dominant strain that’s a three-way cross between AK-47, Mango, and White Widow. It produces short, sturdy plants thanks to its indica heritage. The strain has an average flowering time between 49 and 56 days and is known to produce low yields in ideal conditions. Candy Cane is best grown indoors and it can be smelly so odor control may be needed. Candy Cane is available as seeds."
9,candy-cane,"Multiple varieties of Tangerine Kush exist on the cannabis market, each with its own genetic lineage and effects. Tangerine Kush By Rare Dankness Tangerine Kush is a cross of Tangerine Haze and Rare Dankness #1 from, you guessed it, the breeders of Rare Dankness. The strain features a flavorful blend a tart orange and kushy spice highlighted by a citrus terpene profile. Tangerine Kush By Exotic Seeds Tangerine Kush is a mix of MK-Ultra, Blueberry, and a phenotype of New York City Diesel created by the team at Exotic Seeds. Per the breeders, the strain has a spiced fruit and earthen flavor profile. Tangerine Kush from Rare Dankness grows tall and lanky and flowers quickly, typically in eight-to-nine weeks. The strain produces average sized yields of dense, pale green buds with red-orange pistils and a thick layer of trichomes. Tangerine Kush by Exotic Seeds develops long, branchy growths, making it a good candidate for Sea of Green (SOG) whether it’s cultivated inside or outdoors. The pale green buds clump together at each plant node and are ready for harvest in nine-to-10 weeks or September. The cultivar also produces a lot of resin and has an average-to-high yield, making it a good choice for extractors."
10,tangerine-kush,"UK Cheese was created by the breeding collective Exodus from a Sensi Seeds Skunk #1 phenotype with a particularly ripe stench. Several other breeders carry their own version, usually crossed with an Afghan #1 to stabilize and produce seeds. True to its name, the strain smells like funky cheese yet surprises taste buds with a light and fruity palate. UK Cheese grows short and thick, performing well regardless of grow environment. The strain produces average yields, per Shaman Genetics, and flower in eight-to-nine weeks or in October. At maturity, the cultivar produces dense, pale green buds with orange pistils and a light dusting of trichomes."
11,uk-cheese,"A powerful cross between Sweet Pink Grapefruit and Orange Bud, Passion Fruit packs a punch. It was created by Dutch Passion Seed Bank in Belgium when they acquired a clone of original Sweet Pink Grapefruit from a trusted friend in Belgium. The origin of Sweet Pink Grapefruit is said to be Canadian, however, it’s still unknown. Passion Fruit is a well-balanced hybrid is notably for its high THC content, about 20%, sweet but pungent aroma, and stable genetics. Its CBD clocks in at about 10%. Effects include freshing creative energy, uplifting attitude, and overall relaxation. Passion Fruit has won awards in South America, including 1st Prize Outdoor at Copa Del Sol in Peru in 2018. Passion Fruit can grow to be quite large, especially outdoors where it tolerates cooler temps well. Exposure to cooler temperatures causes a desirable blue/purple tint in the leaves and increases sticky trichome production. It flowers in about four weeks indoors using Sea of Green (SOG) technique. Flowering takes eight to nine weeks outdoors or in a greenhouse. The breeder recommends greenhouse planting for maximum production but air circulation is key since Passion Fruit is susceptible to mold. Passion Fruit responds well to variety of grow techniques and delivers extremely high yields in optimal conditions."
12,passion-fruit,"Chem Crush is a rare but highly desirable hybrid strain. While its parentage is a secret, some online sources suggest Orange Crush as a possible predecessor. The top reported aromas of the Chem Crush strain are earthy, pungent, and grape. And it is said to taste like sweet, spicy herbs. Chem Crush won second place in the 2012 People’s Choice Cannabis Cup in Denver, as well as first runner-up in the High Times Cannabis Cup - Denver for Best Medical Hybrid. Chem Crush is a sativa-dominant strain of unknown origin. Chem Crush produces tall plants with slender leaves thanks to its sativa heritage. Chem Crush has an average flowering time between 56 and 63 days and is known to produce low yields in ideal conditions. The Chem Crush strain grows indoors and outdoors. Chem Crush is not available as seeds or clones."
